EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_ACCURACY
1	17:28:15	0	0.1000	2.9138939591382176	2.1300346851348877		0.9645
2	17:49:30	0	0.1000	1.9287762174670329	1.807419776916504		0.9654
3	18:10:48	1	0.1000	1.6712724981852025	1.546972632408142		0.9596
4	18:32:00	0	0.1000	1.5375968931985382	1.3852627277374268		0.9675
5	18:53:13	0	0.1000	1.4266911633702732	1.540418267250061		0.9689
6	19:14:30	0	0.1000	1.356169659563359	1.5113825798034668		0.969
7	19:35:49	1	0.1000	1.3165224735848855	1.3968331813812256		0.9683
8	19:56:54	0	0.1000	1.2644403411878036	1.155407428741455		0.9719
9	20:18:04	1	0.1000	1.2200713203417375	1.156854510307312		0.9664
10	20:39:11	2	0.1000	1.20670453081195	1.1704989671707153		0.9696
11	21:00:16	3	0.1000	1.183977354244898	1.2228437662124634		0.9703
12	21:21:27	4	0.1000	1.1670936988664153	1.0506843328475952		0.9677
13	21:42:35	1	0.0500	1.0467781450764444	0.999239981174469		0.9677
14	22:03:47	2	0.0500	1.018387338811119	0.9871388673782349		0.9712
15	22:24:57	3	0.0500	0.9922287162998379	0.967873215675354		0.9693
16	22:46:10	4	0.0500	0.9785946932895071	1.0066086053848267		0.971
17	23:07:23	1	0.0250	0.9352084378588119	0.9513261914253235		0.9701
18	23:28:38	2	0.0250	0.9177369029729958	0.929916501045227		0.9703
19	23:49:40	0	0.0250	0.915730845528161	0.9193193316459656		0.972
20	00:10:55	0	0.0250	0.9089849407400861	0.9389269948005676		0.9723
21	00:32:15	0	0.0250	0.8827530085800478	0.9243016242980957		0.9726
22	00:53:32	1	0.0250	0.8831663247722907	0.904206395149231		0.9684
23	01:14:39	2	0.0250	0.8772887332807451	0.9271859526634216		0.9654
24	01:35:44	3	0.0250	0.8720164101235819	0.9170939922332764		0.9708
25	01:56:51	4	0.0250	0.8660870482617576	0.8895624876022339		0.9709
26	02:18:01	1	0.0125	0.8410476837542233	0.8892082571983337		0.9706
27	02:39:17	2	0.0125	0.8404580590228906	0.884685754776001		0.9708
28	03:00:22	3	0.0125	0.836158277540399	0.8886266350746155		0.9721
29	03:21:35	4	0.0125	0.8198113878141313	0.878376841545105		0.9691
30	03:42:45	1	0.0063	0.8210916454199977	0.8737513422966003		0.9718
31	04:03:57	2	0.0063	0.8126729845040597	0.8752066493034363		0.9718
32	04:24:58	0	0.0063	0.811727988639934	0.8740911483764648		0.973
33	04:46:16	0	0.0063	0.811048311547145	0.8700367212295532		0.9738
34	05:07:47	1	0.0063	0.8180960744339347	0.8642489314079285		0.9723
35	05:28:54	0	0.0063	0.8101107878012945	0.8768462538719177		0.9742
36	05:50:07	1	0.0063	0.8076578387638066	0.8672915101051331		0.9729
37	06:11:16	2	0.0063	0.8104522703798025	0.8651657104492188		0.9727
38	06:32:25	3	0.0063	0.7975202645231413	0.8699561953544617		0.9698
39	06:53:28	4	0.0063	0.8096354830665077	0.868708610534668		0.9728
40	07:14:38	1	0.0031	0.8035464784923015	0.8656577467918396		0.9723
41	07:35:52	2	0.0031	0.7965003383879694	0.8673303127288818		0.9725
42	07:56:58	3	0.0031	0.785734446784794	0.873622715473175		0.9741
43	08:18:09	4	0.0031	0.7869443946396745	0.8652018308639526		0.9719
44	08:39:12	1	0.0016	0.7865371404718232	0.865959644317627		0.9712
45	09:00:19	2	0.0016	0.792543262347279	0.864376962184906		0.9712
46	09:21:27	3	0.0016	0.7826567710326022	0.8615431189537048		0.9732
47	09:42:28	4	0.0016	0.783245444521808	0.861392080783844		0.9721
48	10:03:36	1	0.0008	0.8046660448240753	0.8599964380264282		0.9712
49	10:24:37	2	0.0008	0.7893579272775842	0.8604660630226135		0.9721
50	10:45:33	3	0.0008	0.7901738439790355	0.8602510690689087		0.972
51	11:06:34	4	0.0008	0.7883777813623416	0.859653115272522		0.9714
52	11:27:34	1	0.0004	0.7809381267368394	0.8599452972412109		0.972
53	11:48:33	2	0.0004	0.7762430385615202	0.8612743020057678		0.9712
54	12:09:35	3	0.0004	0.7770125385578847	0.861039936542511		0.9713
55	12:30:37	4	0.0004	0.7934525665020783	0.8603695034980774		0.9725
56	12:51:34	1	0.0002	0.7837868327902467	0.8600602149963379		0.9718
57	13:12:25	2	0.0002	0.7815421882731802	0.8598936200141907		0.9727
58	13:33:22	3	0.0002	0.7756469757284894	0.8596944212913513		0.9727
59	13:54:21	4	0.0002	0.7780367590437	0.8597743511199951		0.9726
