EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1
57	11:29:25	4	0.0063	0.49651472495568094	0.6290298700332642	0.8652	0.8831	0.8741
58	11:54:18	1	0.0031	0.4959618680324633	0.6266892552375793	0.8654	0.8825	0.8739
59	12:17:24	2	0.0031	0.4942119137931844	0.6277196407318115	0.8647	0.8837	0.8741
60	12:39:43	3	0.0031	0.4968136948932351	0.6320286393165588	0.8650	0.8826	0.8737
61	13:03:40	4	0.0031	0.49643218321593896	0.6291696429252625	0.8641	0.8829	0.8734
62	13:26:45	1	0.0016	0.49689336267664236	0.6293777227401733	0.8644	0.8822	0.8732
63	13:48:34	2	0.0016	0.493689584138786	0.6290709376335144	0.8657	0.8823	0.8739
64	14:10:47	3	0.0016	0.49512953018708544	0.629976749420166	0.8645	0.8832	0.8737
65	14:33:07	4	0.0016	0.4922519345967878	0.6287750005722046	0.8648	0.8823	0.8734
66	14:55:30	1	0.0008	0.4936658822519338	0.6291069388389587	0.8651	0.8823	0.8736
67	15:18:28	2	0.0008	0.4911421730652481	0.6290508508682251	0.8657	0.8831	0.8743
68	15:41:32	3	0.0008	0.4931774038612533	0.6288003325462341	0.8649	0.8834	0.8741
69	16:04:26	4	0.0008	0.49729089087011824	0.6287738680839539	0.8644	0.8831	0.8737
70	16:27:44	1	0.0004	0.49047371041302695	0.6293092370033264	0.8644	0.8824	0.8733
71	16:50:12	2	0.0004	0.48945193373426443	0.6288748979568481	0.8653	0.8828	0.8740
72	17:12:37	3	0.0004	0.49150837955589555	0.6290246248245239	0.8650	0.8833	0.8741
73	17:34:39	4	0.0004	0.49121677603047287	0.6279956102371216	0.8657	0.8830	0.8743
74	17:56:43	1	0.0002	0.48800737433345104	0.6288357973098755	0.8654	0.8830	0.8741
75	18:19:06	2	0.0002	0.4869900405836819	0.6287584900856018	0.8658	0.8829	0.8743
76	18:41:12	3	0.0002	0.4904225174323608	0.628635823726654	0.8658	0.8830	0.8744
77	19:03:18	4	0.0002	0.488199578998305	0.6286206245422363	0.8658	0.8831	0.8744
