EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_ACCURACY
1	20:51:10	0	0.1000	2.6601459283928772	0.9869776964187622		0.9853
2	20:52:36	1	0.1000	1.2649908649337875	1.0231733322143555		0.983
3	20:53:35	0	0.1000	1.0758100620933346	0.7484634518623352		0.987
4	20:54:45	0	0.1000	0.8471037753812083	0.7051243782043457		0.9875
5	20:55:56	0	0.1000	0.7859802431576736	0.6258295178413391		0.9893
6	20:57:06	1	0.1000	0.7138203228270257	0.6849913001060486		0.9865
7	20:58:06	0	0.1000	0.6508970591988597	0.5568178296089172		0.9901
8	20:59:16	1	0.1000	0.6220396807143739	0.5770295262336731		0.9898
9	21:00:15	0	0.1000	0.5601205229759216	0.5130418539047241		0.9904
10	21:01:25	0	0.1000	0.5181587738590641	0.5407713055610657		0.9907
11	21:02:36	1	0.1000	0.5253694032455658	0.5452502369880676		0.9897
12	21:03:35	2	0.1000	0.4939403743385435	0.5180281400680542		0.9905
13	21:04:35	3	0.1000	0.46298775649987733	0.5104972124099731		0.9904
14	21:05:34	0	0.1000	0.44032257670289154	0.47214439511299133		0.9912
15	21:06:44	1	0.1000	0.4138486564576209	0.5077237486839294		0.991
16	21:07:44	2	0.1000	0.39185370015097665	0.5744571685791016		0.9884
17	21:08:43	3	0.1000	0.39222788029200545	0.4860065281391144		0.9912
18	21:09:42	0	0.1000	0.3470659818682637	0.5052981376647949		0.9915
19	21:10:53	1	0.1000	0.3614467832591984	0.5703944563865662		0.9909
20	21:11:52	2	0.1000	0.3253663999217373	0.5561716556549072		0.9911
21	21:12:51	3	0.1000	0.3107642980513873	0.5371596813201904		0.9911
22	21:13:51	4	0.1000	0.30604962973327904	0.5627644658088684		0.9906
23	21:14:50	1	0.0500	0.2730840256997755	0.5195335745811462		0.9912
24	21:15:48	2	0.0500	0.24951101995848277	0.5361482501029968		0.9913
25	21:16:48	3	0.0500	0.24790956840648518	0.5556168556213379		0.9913
26	21:17:46	4	0.0500	0.23484641813731694	0.5584343671798706		0.9914
27	21:18:45	1	0.0250	0.21875086655983558	0.5471473932266235		0.9913
28	21:19:44	2	0.0250	0.1981532309021983	0.5576040744781494		0.9913
29	21:20:43	0	0.0250	0.20856058014022721	0.5506334900856018		0.9917
30	21:21:53	1	0.0250	0.2099266381530495	0.55926114320755		0.9916
31	21:22:52	2	0.0250	0.23184055162893308	0.5434311032295227		0.9915
32	21:23:51	3	0.0250	0.18982255708921206	0.5507698059082031		0.9916
33	21:24:51	4	0.0250	0.19042111589358404	0.5540868639945984		0.9916
34	21:25:51	1	0.0125	0.1823444941660741	0.5586086511611938		0.9915
35	21:26:50	2	0.0125	0.188604250654474	0.5606434941291809		0.9914
36	21:27:49	3	0.0125	0.19357682441498017	0.567777156829834		0.9913
37	21:28:48	4	0.0125	0.1832932277576073	0.5619903802871704		0.9915
38	21:29:47	1	0.0063	0.18124920671636408	0.5665979385375977		0.9914
39	21:30:47	2	0.0063	0.1795315304836193	0.565143883228302		0.9914
40	21:31:46	3	0.0063	0.17338435268485464	0.56627357006073		0.9911
41	21:32:45	4	0.0063	0.20892226925263038	0.5681275725364685		0.9913
42	21:33:44	1	0.0031	0.18958060391299375	0.5661223530769348		0.9913
43	21:34:43	2	0.0031	0.17784522609277206	0.5706246495246887		0.9913
44	21:35:42	3	0.0031	0.19540445975490384	0.5659438371658325		0.9913
45	21:36:41	4	0.0031	0.17801291875905925	0.569826066493988		0.9914
46	21:37:40	1	0.0016	0.18020564276021678	0.5700064301490784		0.9913
47	21:38:39	2	0.0016	0.17393901110529067	0.5703561305999756		0.9913
48	21:39:38	3	0.0016	0.1806048063131479	0.5717058181762695		0.9913
49	21:40:38	4	0.0016	0.16864269429987128	0.5716602802276611		0.9913
50	21:41:37	1	0.0008	0.18253804774551124	0.5709653496742249		0.9914
51	21:42:35	2	0.0008	0.17639372367542105	0.5693025588989258		0.9914
52	21:43:35	3	0.0008	0.1776368057394361	0.5691960453987122		0.9914
53	21:44:34	4	0.0008	0.17832185025815364	0.5699092745780945		0.9914
54	21:45:33	1	0.0004	0.17432547688901007	0.5706181526184082		0.9914
55	21:46:32	2	0.0004	0.18072354064121113	0.5711029767990112		0.9914
56	21:47:31	3	0.0004	0.18232845072146062	0.5711311101913452		0.9914
57	21:48:31	4	0.0004	0.18296708427109085	0.5711169838905334		0.9914
58	21:49:30	1	0.0002	0.17629405335112885	0.5711056590080261		0.9914
59	21:50:29	2	0.0002	0.1894838109716669	0.570789635181427		0.9914
60	21:51:29	3	0.0002	0.16910403227055823	0.5711811184883118		0.9914
61	21:52:28	4	0.0002	0.18942011257151622	0.5711690187454224		0.9914
